Year,Month,Airport,Border,Inland ,Other Offices,Mexico,Nigeria,India,Bangladesh,Kenya,Uganda,Pakistan,Iran," Congo, Democratic 
Republic of the",Haiti,Colombia,Turkey, Ghana,Sri Lanka,Afghanistan,Rwanda,Romania,"China, People's Republic of",Ethiopia,"Cameroon, Federal Republic of","Chad, Republic of",Burundi,Algeria,Senegal,Syria,Other Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Jan,85,240,845,--,5,95,20,25,--,10,50,10,25,30,50,15,--,25,45,5,0,145,25,15,--,10,5,5,45,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Feb,205,250,690,0,5,40,10,20,5,--,80,5,30,25,50,25,10,20,35,--,0,130,15,15,15,10,--,--,35,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Mar,205,260,660,--,5,45,15,15,5,--,65,15,10,10,65,10,5,15,30,--,0,140,10,15,5,--,--,10,20,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Apr,185,240,700,0,10,55,20,20,--,--,50,5,20,35,75,15,10,20,20,--,0,150,20,20,10,--,--,5,15,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,May,225,305,640,0,5,50,25,15,--,--,75,15,25,20,60,15,10,25,20,--,--,135,20,15,5,10,--,--,35,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Jun,250,335,740,0,5,80,30,25,10,5,55,10,15,15,25,15,10,20,25,5,0,115,45,25,--,30,5,--,70,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Jul,155,410,800,0,10,65,50,15,--,--,105,15,40,20,50,15,5,20,35,5,0,95,30,20,0,45,--,5,55,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Aug,130,455,720,0,15,65,30,15,--,5,55,25,35,35,75,35,5,20,20,--,0,110,15,20,5,40,10,--,55,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Sep,170,465,"1,010",--,10,90,35,25,--,20,105,10,20,35,75,35,10,15,55,10,0,120,25,25,5,25,10,5,65,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Oct,180,480,805,0,15,60,30,20,5,5,90,10,20,35,55,15,10,20,65,--,0,100,25,20,10,60,--,--,70,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
